ID,target,prediction
000d6aaf2,37999999.99999996,2713671.62280151
000fbd867,600000.00000000,2580076.66487909
0027d6b71,10000000.00000000,2781319.69840556
0028cbf45,2000000.00000000,2048408.88680416
002a68644,14399999.99999998,3189445.87030699
002dbeb22,2800000.00000000,3729826.56171830
003925ac6,164000.00000000,242520.55088727
003eb0261,600000.00000000,4408191.04310913
004b92275,979000.00000000,1456071.52058825
0067b4fef,460000.00000000,931655.80418209
00689ee2c,1100000.00000000,2428222.34948591
0069007ac,16000000.00000003,2089919.78014372
006b60dd7,354000.00000000,290953.67430033
008057126,7000000.00000000,4094628.38869721
008825875,100000.00000000,1490554.00968780
0096e207e,800000.00000000,2222266.49896387
00c2deb75,200000.00000000,409124.44908486
00ce2134f,3600000.00000000,2036782.81572936
00e7ba121,2786000.00000000,2657873.24316244
00ecc53f2,40000.00000000,1221908.41187594
00fb69afe,1600000.00000000,1770021.62827294
00fc78888,3266666.66000000,2679554.92110638
0110c05db,6140000.00000000,4205658.35254753
0126abf21,14886000.00000001,2592498.02277352
012800ace,833333.34000000,1699865.80575110
012d8bc84,400000.00000000,152963.39676929
012d9baab,6500000.00000000,2578828.19595558
01346ebb9,1700000.00000000,2704781.85899140
013842698,933333.34000000,1710789.42470737
01432f2c7,4000000.00000000,3730882.28319128
014aa259b,102000.00000000,1349450.82353888
015a1c656,20000000.00000001,4002115.50258576
0161ebeea,4666666.66000000,2709707.98685586
0163ff75d,20000000.00000001,1170016.24403946
01666d7a4,890000.00000000,4093661.13347382
017ad263f,6000000.00000000,2210397.67127387
01a09167b,20000000.00000001,7711475.72554563
01b1dd07c,2000000.00000000,768189.09119249
01b4bd64a,17999999.99999999,9624717.43695590
01b4c938b,6400000.00000000,2682799.54957147
01bf430de,20000000.00000001,8322606.97046021
01db20056,10000000.00000000,10234359.38583974
020b34e31,5000000.00000000,1601377.11462347
02111eb6f,9000000.00000000,4620127.53649866
021f11b0c,34737999.99999996,2758523.52087146
025b6897a,4000000.00000000,1579418.32300449
026c1767f,1650000.00000000,2026056.87986831
0270d1d7b,4500000.00000000,7374637.62033164
027484f21,13200000.00000002,1134329.12351955
028020c53,10000000.00000000,1411461.60388250
02869e5f9,2450000.00000000,938786.19691515
02aa73470,10050000.00000000,1685654.99571013
02c00f064,1400000.00000000,1087790.50200652
02d144b6b,2000000.00000000,3767742.48849318
02d2b0a64,25999999.99999999,11665708.23234994
02d4da4c6,232000.00000000,1645661.22026090
02d69b525,6000000.00000000,1235936.52157545
02d791038,300000.00000000,786585.54101591
02e34c8e3,100000.00000000,494887.03179069
02f97498e,8000000.00000000,3646552.04544573
02fc56b21,20000000.00000001,1760673.47892245
030edce8a,19333333.33999998,6644474.15143135
031ddd56a,680000.00000000,2201472.39808484
032818895,8160000.00000000,4822340.75928138
032beb98c,27999999.99999999,2140868.93891809
03498d10d,101000.00000000,686352.45171299
034c32bb4,9000000.00000000,3857821.95247722
034e7a354,12000000.00000001,3011938.06280494
035419398,1068000.00000000,4069659.90377604
0357f3417,10000000.00000000,8302557.42608493
035b68a24,24999999.99999996,2341605.68533490
0360e2d7e,78000.00000000,612033.67121866
03967601f,5000000.00000000,9589136.83482129
03a963ee8,4000000.00000000,941584.42958177
03c23ecdf,32499999.99999996,27456082.59673093
03d938c35,200000.00000000,2202657.64178674
03e106196,620000.00000000,109859.54654513
03ec1414d,200000.00000000,6117557.88739739
03f924fe6,10000000.00000000,10775683.96025163
040843487,5000000.00000000,5025822.37985244
0424bf0f1,2290000.00000000,3700832.31461093
042cdc62a,3925333.34000000,1077770.73234680
043a2b686,16000000.00000003,1168553.99080053
048042a7b,56000.00000000,60165.65102698
04a154f62,9592000.00000000,1693753.35101791
04b3efeb9,11333333.34000000,2267478.85807509
04bc62ea4,1000000.00000000,3684500.47310527
04d0e4cf0,4500000.00000000,9378293.38996598
04d0f44bc,4000000.00000000,1961070.30323275
04ed5af8a,270000.00000000,3363012.20190461
04fbf2d59,1160000.00000000,3100618.11694066
0527dddcf,4000000.00000000,2799876.50401973
0528302c3,6008000.00000000,110929.35799290
0536e2258,1000000.00000000,3665582.22964547
054da754d,3000000.00000000,5178279.89872738
056c44518,30000000.00000005,27601170.34768477
058c8b11d,1800000.00000000,2412589.21848172
0599759ce,7000000.00000000,4946291.34144807
059b6f1fa,2453200.00000000,1867759.30197627
059d00929,8000000.00000000,4044032.47281504
05a4eee1d,185200.00000000,1914399.91625285
05b3e7717,10000000.00000000,6329281.02227658
05bd95a13,39999999.99999999,14550245.71954533
05f28202c,600000.00000000,307204.35711609
061309a97,2000000.00000000,2494933.82011536
06131d5cc,6000000.00000000,4001178.69274398
062bb21e8,1000000.00000000,3762251.04810378
06488c90a,2400000.00000000,1427863.14227912
064d48f86,2580000.00000000,2733924.36961926
0662f9392,6000000.00000000,8473004.71550014
066502f55,50000.00000000,5316623.77246224
066608dee,100000.00000000,223069.42423066
06843cff2,6000000.00000000,4875281.29750089
068d32d7f,160000.00000000,1866269.12718409
06cd03d09,3095200.00000000,2918511.82734622
06e503809,20000000.00000001,8959913.56599464
06f5eb3b9,1400000.00000000,792939.61729512
06f84353d,400000.00000000,1329034.29353445
06f8d2837,600000.00000000,2806147.65412215
06fab8e09,10000000.00000000,2509061.06579897
070ff9b8c,1500000.00000000,1736104.68621043
071329972,8000000.00000000,8080639.83782303
071b32ef7,350000.00000000,428751.25724375
0733849bd,600000.00000000,1515447.01898132
07495ca77,25149999.99999996,19182797.37523123
0763993d0,16000000.00000003,9161128.36015432
0770e5ca3,20000000.00000001,2535693.34302195
077787b5d,10814666.66000001,1703331.35363323
07874a916,2000000.00000000,2290141.48386216
078c9588e,3000000.00000000,2762281.60691036
07902a079,3000000.00000000,3453994.78046878
07954eaf6,800000.00000000,2404535.79886209
079a1e508,17999999.99999999,909171.85348863
07b34096c,34000.00000000,69541.59081610
07b7baef9,4000000.00000000,3099752.82867975
07d01b837,2600000.00000000,2606490.34401195
07eb3e75d,25020000.00000000,2547090.06422245
0803772fe,10000000.00000000,13612031.69485045
08067f653,2800000.00000000,1331807.01481576
08207f2c5,52000.00000000,362710.75674559
0823dffa9,100000.00000000,2122999.55669293
084461f11,700000.00000000,2134956.32926675
0850d8ad9,625000.00000000,1537742.81058293
08557af71,31999999.99999996,29813055.09095778
085fb524c,3500000.00000000,1849552.90972064
086a34c77,4000000.00000000,1309360.69253557
08799037c,26428571.42000003,16079987.90114645
087ea0844,10000000.00000000,13258687.00364271
089248d8e,14000000.00000001,3570908.48434992
08b341d7d,2000000.00000000,2603906.10520385
08c00d3d8,2000000.00000000,1620150.47560736
08c1f91b0,200000.00000000,897826.89164242
08cb967e3,2000000.00000000,807827.26354568
08cc2588d,163000.00000000,1101185.91767398
08d27660b,3734230.76000000,2676422.07051895
08ea2ecae,100000.00000000,239988.49176977
08f544828,25099999.99999997,2131018.53629506
08f855d4b,2500000.00000000,265870.19012296
09183a245,7494000.00000000,3689391.50326512
0929d169b,3000000.00000000,1563742.09547067
0933f9d69,10000000.00000000,15394597.79525032
0938ad7cf,3936000.00000000,4196256.32193105
093c7e5e3,2610000.00000000,1365404.44492863
09470c145,60000.00000000,2335833.86574591
0953d0754,454000.00000000,3001762.93817136
0975e4371,6000000.00000000,2856670.83974826
097b5abba,1704666.66000000,541366.30665286
099606598,1600000.00000000,3197821.13482331
09ae3dc3a,4000000.00000000,2999970.28620335
09ae920d2,11851999.99999999,3738784.69949966
09b364ec5,8000000.00000000,1912606.72479246
09bd7fed6,5000000.00000000,1806362.19001709
09d3f15c7,410000.00000000,909440.10075881
09edae2ab,39999999.99999999,14164466.34226363
09faef65b,2000000.00000000,248864.03756864
0a0e74070,103000.00000000,137793.01720140
0a26a4be2,21333333.33999996,22756742.10105252
0a3df71ab,100000.00000000,2668177.20659112
0a48a49fa,7913333.34000000,1193362.39486165
0a5bd4c80,2840000.00000000,1342133.99275156
0a6e926ca,11973333.34000000,2714005.37214895
0a730d90b,1400000.00000000,2816276.18153551
0a76fdaa3,1000000.00000000,6072111.20672671
0a845633d,6000000.00000000,3004566.92888543
0a8ec2e6a,5000000.00000000,1055553.32259435
0aaa23f8a,6000000.00000000,1916111.20978712
0adce5e78,1800000.00000000,1186453.98373543
0add41ccf,11599999.99999998,3703150.37842644
0ae1fdc31,1148000.00000000,2051693.64677677
0af7c3421,11451000.00000000,2122546.75256366
0afd2e694,10000000.00000000,9211086.16864076
0aff378aa,5000000.00000000,4503533.43951007
0b11670cf,3600000.00000000,2917386.19580907
0b132f2c6,500000.00000000,758246.08280995
0b1f5ef87,1916000.00000000,1655558.35181090
0b20202fc,300000.00000000,439276.89341688
0b297d9f3,1800000.00000000,3510136.41753532
0b59b910e,1900000.00000000,1514197.62864978
0b625d947,8666666.66000000,645303.33506726
0ba28f4da,1074000.00000000,4008541.99673288
0babe6002,400000.00000000,474598.78521773
0bbbe8deb,4100000.00000000,2433767.83364480
0bc4faf0e,104000.00000000,674338.04849782
0bd4a8ad2,9299999.99999999,3841758.86373067
0bd9b8737,4676000.00000000,4527211.24642326
0c32c635c,6000000.00000000,4937927.85844480
0c409e831,450000.00000000,337373.75958159
0c444d13b,3600000.00000000,3051320.80741373
0c4dfffad,4000000.00000000,978266.97244467
0c5491505,600000.00000000,1607575.77504890
0c5525a98,180000.00000000,568595.54302135
0c5b5c1e0,300000.00000000,1549174.59177976
0c8b1a649,3500000.00000000,4992360.24196379
0c97eddd2,10000000.00000000,2679226.19900094
0cba9fad9,5187333.34000000,1483673.61457943
0cbd1021b,446000.00000000,2367510.92925505
0cc925146,3286666.66000000,1673489.94390715
0ccf73685,8000000.00000000,4369559.98129276
0cef183f7,60000.00000000,428465.63282638
0cef3a40b,2870000.00000000,528880.13998451
0cf253360,5000000.00000000,4384894.40639662
0cfbe380d,400000.00000000,467561.57698556
0d00a4015,3000000.00000000,592850.11048413
0d3e49bb0,400000.00000000,2150899.13554304
0d40b481b,8400000.00000001,2131945.43782645
0d6201f52,16000000.00000003,5429751.79148522
0d6cfdf99,200000.00000000,2295045.01304203
0d88e8fc0,360000.00000000,116141.30990993
0d89cda20,10000000.00000000,4244280.41733461
0d930ad35,4000000.00000000,3360238.18627752
0d933b6ac,30000000.00000005,28838126.76463218
0dadd8851,1192000.00000000,1933096.12566219
0dd873736,1200000.00000000,2692478.52106854
0de8dbd9d,20000000.00000001,4116302.76595470
0dfc59af8,500000.00000000,634321.96954886
0e1920aa8,406000.00000000,989444.45390044
0e19c2272,151750.00000000,172888.25458416
0e2d63def,5000000.00000000,3168475.11018172
0e2e32e67,14117000.00000002,1924111.99311720
0e33dc3d1,2000000.00000000,1602937.56036392
0e54e257b,10000000.00000000,9010788.82867411
0e588402b,4000000.00000000,7160364.92923443
0e6d5a8b0,14000000.00000001,9747930.02681921
0e7ddb509,2900000.00000000,2946545.94677776
0e887aa09,1630000.00000000,1227865.05002762
0e8c830c4,1477600.00000000,714646.22353026
0eb66e6ad,16071999.99999998,10766409.86179393
0ee72d61f,13799999.99999999,4504282.84992787
0efce87ee,8000000.00000000,3050138.29424618
0f1f08763,5000000.00000000,4895289.01639319
0f2aaf7e5,6000000.00000000,8158076.04333465
0f2e84a29,1610000.00000000,2842242.68085171
0f349b47a,10000000.00000000,9148563.25129326
0f3b3003f,9000000.00000000,2329477.68657585
0f452fd3e,20000000.00000001,1794870.39768737
0f5517ab0,7510000.00000000,1865742.63773789
0f70e1a1c,872000.00000000,3304769.42188445
0f9231688,40000.00000000,625636.91601309
0f925f08c,3000000.00000000,1970205.47843387
0fadf9219,500000.00000000,5121364.94180161
0fb080660,7000000.00000000,2832830.98752320
0fc215d64,1200000.00000000,1466427.20095733
0fcb524b7,2000000.00000000,4071407.71854782
0fdacab09,60000.00000000,223421.54122842
0fdc81882,40000.00000000,280634.60939539
0fddec776,8000000.00000000,5044785.33998281
0ff5ed246,6717333.34000000,1918214.45979094
1008166a8,2322000.00000000,2226766.11608742
1016ba869,1440000.00000000,3011584.67459021
101847559,30000000.00000005,11744444.56512310
102bd04d8,1988666.66000000,2273341.25585157
1045a5101,5660000.00000000,1747895.02940946
104ded997,600000.00000000,997492.43052139
1059bc35b,50000.00000000,177380.26112584
10a929b4f,20749999.99999997,7183483.22900757
10b8ee0d8,15199999.99999998,4060634.75884508
10bec3555,390000.00000000,2967090.08183940
10c2ea2f3,6000000.00000000,5812940.12919053
10e824dbb,18062333.33999998,2902820.31822323
10e82796a,1130000.00000000,548986.87612788
10f1de93a,4700000.00000000,10011767.24688354
10f890317,1000000.00000000,1070814.77213827
11250a507,29369999.99999996,9435022.96716227
113a0df16,1943333.34000000,2970799.51649612
1160f5e79,10199999.99999999,2579624.73779834
1160f65f5,1400000.00000000,1123586.24150540
1167509aa,10000000.00000000,3995794.63674611
11afe76e6,2000000.00000000,3071418.15179773
11b309b45,1960000.00000000,3973561.05052455
11b5f039b,22750000.00000000,7063284.61250230
11d5b7c0e,15110000.00000000,12802518.56549404
11df6f4bc,12220999.99999999,2744809.93151256
11fdde7eb,1900000.00000000,6372807.36340538
1208ab425,24000000.00000000,4720731.50215901
120eb3f4b,800000.00000000,4274251.81256774
121736323,4052000.00000000,2165490.06124331
121e433d3,200000.00000000,327552.37439093
123a3e372,10000000.00000000,1480297.25468858
1240432e8,4000000.00000000,2031194.54175789
1240fa2e3,140000.00000000,294651.85370116
124807db0,262666.66000000,137115.68707815
1249ffb84,5000000.00000000,9187091.29742758
125046869,2000000.00000000,1429713.17299697
1254c44d0,10000000.00000000,2041011.23527052
125c1ff5f,27199999.99999999,4846754.00846040
125e5f2f4,5200000.00000000,3120656.75725743
1260606f4,108000.00000000,80563.47812648
127478826,2000000.00000000,378228.71641124
127ed287e,400000.00000000,1234956.50039336
1287d2d53,3520000.00000000,1526932.53681966
1296b73ee,1000000.00000000,2239750.28427311
1299cab28,2000000.00000000,1638010.73390280
12ada2c6c,200000.00000000,215143.93770980
12b05d822,20000000.00000001,12619334.90017458
12b150758,1809333.34000000,1645161.59197988
12c818f0f,1500000.00000000,7137657.07192007
12ced5924,1000000.00000000,199247.71420869
12f86b2a5,50000.00000000,1134419.39929973
12fdc199a,8000000.00000000,1634512.09888519
130159057,10439999.99999999,4451563.47872921
13091f18d,20000000.00000001,16984517.16004306
133486df6,3400000.00000000,1893685.17458414
133631910,400000.00000000,1673948.86702704
133866461,5000000.00000000,823714.33859049
1338ca6ae,15000000.00000001,984592.54287767
134d63f82,5000000.00000000,4144641.33859526
1362bae6f,560000.00000000,2700212.21505394
1372a718a,600000.00000000,860166.56335416
1373199ff,700000.00000000,4753457.14846018
137fcea1a,16000000.00000003,2841738.15391699
1382adeb4,4000000.00000000,1079309.25682917
1392a8f7a,1200000.00000000,1121874.08548074
1394c1db5,304000.00000000,678437.28187951
13a05ef44,600000.00000000,512395.83982726
13aa1d8c9,3034400.00000000,3345604.72469841
13b28c8b3,280000.00000000,362013.91259114
13b727a3f,2000000.00000000,1111067.11351378
1419dfb4d,2000000.00000000,2055571.41853525
141c2bd2b,39030000.00000003,4672782.10987839
141f4fdb8,2100000.00000000,2504528.48508201
142deffec,1408000.00000000,5294563.12008117
143a5293d,1200000.00000000,1292365.36622116
14424d7cc,48000.00000000,157473.52734742
144ecf777,2500000.00000000,850653.48528602
145673354,5400000.00000000,17593385.31451990
145973334,2000000.00000000,276145.82221749
146500b51,13799999.99999999,6043997.21146328
1469e98c5,2900000.00000000,1490156.55665353
14a5d0fe8,39999999.99999999,5303972.20458016
14bd7d131,2000000.00000000,2290613.21370188
14c84f0c0,10000000.00000000,9301075.35163259
14e082e9a,152000.00000000,123867.66645525
14f452ec9,2692000.00000000,3181848.13580372
1503cdcc6,8139000.00000000,11574867.23572894
150c45d59,40000.00000000,331526.62018609
15193f459,5228000.00000000,870730.02360853
153140a59,450000.00000000,2801725.74574508
1533877f8,200000.00000000,919735.47932354
15503a18c,12499999.99999999,13078013.11480951
1550e27bb,980000.00000000,2860519.87851374
155140b96,1000000.00000000,1478209.89902076
155cf878e,6000000.00000000,3301982.78166594
157d76880,2060000.00000000,1470382.62675127
15842e967,16000000.00000003,17113574.20129690
1595c36d2,57000.00000000,191605.39216166
15a93fbc8,850000.00000000,7764921.00694235
15cd1d1d5,8018000.00000000,10367911.33568608
15d255c9e,2000000.00000000,959313.02665980
15dd66bbf,9800000.00000001,4245611.65866679
15defc71c,10849666.66000002,3424311.27272410
15fd7a9c6,200000.00000000,809096.54784327
16015eb55,1202000.00000000,3352711.81911948
161b74329,2384000.00000000,2978187.98805635
16264c5bc,10000000.00000000,1798074.16614800
16532a0c9,2000000.00000000,8636487.27186527
1653b322d,16991333.34000001,3151822.42430061
1694a2a9f,700000.00000000,683025.29351188
16970ce16,1600000.00000000,1225791.97353883
16a02e67a,2352551.72000000,635480.86168371
16ab8ae14,26400000.00000003,3852931.10878224
16ac64d07,350000.00000000,2328189.49028026
16bc96b7b,4320000.00000000,2905987.69568565
16dd8452d,4000000.00000000,12199972.32463794
16e7329a9,4600000.00000000,3997491.96259521
16e9f83f3,3590000.00000000,2266752.28404632
16eafcab5,12000000.00000001,1458412.22172407
16eea6b20,30000.00000000,376525.90892785
16f48066a,22166666.66000001,18092221.94121436
16f811105,686000.00000000,598844.35084722
16f95b9ee,4400000.00000000,3656254.79610681
1719c79a1,20000000.00000001,13934095.14781485
17224efee,3938750.00000000,2984663.88701866
1739fb8c4,20000000.00000001,7346109.52980738
17b624c7c,20000000.00000001,4184391.58489199
17b8789d4,1460000.00000000,3905035.92378477
17ba8f200,24999999.99999996,6984781.52443651
17c3e83e5,6208000.00000000,4025953.34354096
17d5bfa1d,10000000.00000000,7629393.98130287
17e2164c4,2800000.00000000,2943683.28086707
17f9d8c9c,4500000.00000000,1272147.10728498
17fb87123,1800000.00000000,196894.13973121
180f21115,1200000.00000000,1036834.89585176
183e6b6bc,7000000.00000000,2095004.18980650
1842ddf03,4200000.00000000,1104298.59832705
18516f2bb,3342666.66000000,3499183.05375243
1857737c8,1235000.00000000,647436.92905398
186030841,2842000.00000000,2058376.38035884
18768ec17,80666.66000000,204786.90486498
188521e79,200000.00000000,756817.40014061
188884a1e,2000000.00000000,2169681.44339871
189059ba4,27999999.99999999,808381.49613798
1895c8f1d,4000000.00000000,3352437.77889373
189a2b5a6,4234800.00000000,1637828.09252638
18a1b4d0a,6160000.00000000,1283705.90386440
18ae5156c,1250000.00000000,1053367.65858829
18c26f151,800000.00000000,3847520.39800446
18c2ecfd0,30000000.00000005,3023438.60202376
18d443c1c,7734285.71999999,5998553.27765956
18d789f9f,370000.00000000,1623793.44411263
18ed8b3d4,800000.00000000,2994255.98511487
18ef9e408,320000.00000000,4678809.04778987
18f550ac1,63333.34000000,976789.08610248
18f7cfa18,4000000.00000000,3362492.92825921
1902ba327,1933333.34000000,1157668.28697688
1906cc341,1000000.00000000,3245304.59706324
190bdc46b,76000.00000000,107346.52260860
1916752c5,30000000.00000005,30873777.07139162
194757772,912000.00000000,10311509.05003430
19624675a,1209090.90000000,531659.92938808
1985cb518,5400000.00000000,1340838.52217808
198a1c3fa,160000.00000000,4869154.67667180
198cdc4b7,2500000.00000000,2580764.47382739
19959f0bf,4000000.00000000,1161682.42010550
1995ef82a,62000.00000000,251323.30950541
199f36888,10000000.00000000,8718833.51607315
19ac5ab5b,8550000.00000001,2999423.24074960
19bafc0eb,2352800.00000000,3120764.31768279
19bf41a02,55000.00000000,150534.88698929
19c416584,5000000.00000000,4593986.25954362
19ca6ecf0,200000.00000000,1078490.27142713
19d7d39f6,9000000.00000000,4946348.22827233
19e3e9ef4,33699999.99999999,20007075.98814422
19e6e7f62,2666666.66000000,3461042.07472785
19f60d902,1070000.00000000,4287751.15960536
1a01b3554,76000.00000000,199506.04137178
1a060c889,1258800.00000000,2070317.36084495
1a0b7f0fc,4000000.00000000,3084168.23842930
1a29797fa,115000.00000000,383509.99232938
1a2fcf1b6,1916666.66000000,1774848.47802473
1a4fdc864,5233692.30000000,1378099.85332125
1a6507f27,6376000.00000000,2936820.96747961
1a65e321b,27999999.99999999,31060437.97491796
1a6eeab3f,1450000.00000000,2957493.29517128
1a7c5c7eb,12700000.00000000,13282136.10666499
1a8d4e326,3450000.00000000,1171053.63604268
1aa1847e8,1000000.00000000,1263935.57403393
1aa3777e8,2000000.00000000,4978521.59052048
1aafc7dff,1000000.00000000,423427.60420121
1ab2af2b6,10000000.00000000,11062205.60376997
1ab56116c,600000.00000000,3079861.86543465
1ac0da637,2660000.00000000,1274657.54494890
1addccea8,24999999.99999996,26692385.99559293
1ae64cc48,38571428.58000005,30340002.28102969
1ae79fa24,20000000.00000001,641708.60704413
1b0bf8e81,1500000.00000000,3486315.78411009
1b2383b69,600000.00000000,2448107.84420724
1b27b561b,23333333.34000000,29656825.88742791
1b28e8107,11326666.66000001,3923489.01960885
1b2dac9f8,70000.00000000,1917509.14455421
1b3e53c32,5100000.00000000,1430368.89926817
1b496f5ad,7871999.99999999,3554508.27490814
1b4f188b8,12218000.00000001,10350203.62361052
1b5ffb3c4,2000000.00000000,3774635.48069217
1b7d3d6b5,4666666.66000000,2207498.05102075
1b7dd98f9,200000.00000000,3533767.00107063
1b856e021,3320000.00000000,2633557.58556934
1b8b7d15a,20000000.00000001,7998076.50795282
1b9611c35,72666.66000000,142098.83269280
1bbe1ced7,7000000.00000000,2482465.95845871
1bc067951,17999999.99999999,2312698.66976040
1bc15dc5f,40000.00000000,100516.42652368
1bca204af,1500000.00000000,979940.18800622
